ID;LOCATION;NAME;AREA
001;"63.791471;20.306354";Sofiehems Tegelbruk;Umeå
002;"63.792956;20.290108";Umeå Airport;Umeå
003;"63.79627;20.321302";Carlshöjds Playground;Umeå
004;"63.796591;20.303515";Strömpilsbron;Umeå
005;"63.797166;20.317603";Lustiga Huset Carlshem;Umeå
006;"63.798598;20.326701";Carlshöjds Skatepark;Umeå
007;"63.799327;20.29999";Line of Thoughts Sculpture;Umeå
008;"63.799535;20.301793";Sofiehems Träsliperi;Umeå
009;"63.799942;20.301327";Zip It;Umeå
010;"63.800865;20.289113";Ön;Umeå
011;"63.801319;20.201615";P. A. Stromberg;Umeå
012;"63.801396;20.31588";Funny Slide;Umeå
013;"63.804125;20.349245";Gröna Lekplatsen;Umeå
014;"63.804151;20.355753";Näckens Lekplats;Umeå
015;"63.804254;20.342447";Sjöfruhallen;Umeå
016;"63.805091;20.344392";Tomtebo Parken;Umeå
017;"63.805203;20.191204";The Globe At Linblomman;Umeå
018;"63.805348;20.325777";Kopparparkens Lekplats;Umeå
019;"63.806117;20.351922";Hoppa om du törs;Umeå
020;"63.806468;20.304933";Den Mystiska Lekplatsen;Umeå
021;"63.806698;20.255758";Persikamy;Umeå
022;"63.807024;20.266565";Umeå Padelcenter;Umeå
023;"63.807297;20.348084";Sälen;Umeå
024;"63.807508;20.290995";A Mineral Spring On The Island;Umeå
025;"63.808144;20.312348";Konst På Parkeringshus;Umeå
026;"63.80842;20.315609";Ålidhemsbiblioteket;Umeå
027;"63.808771;20.332687";Klasmyran;Umeå
028;"63.80878;20.202724";Glödheta;Umeå
029;"63.809563;20.34141";Nornan;Umeå
030;"63.810306;20.282315";Öns Grusplan;Umeå
031;"63.810418;20.354264";Kyrkstugan;Umeå
032;"63.810857;20.272479";Dammen Och Bron;Umeå
033;"63.811409;20.339626";Olle Fiskares Vägs Lekplats;Umeå
034;"63.811551;20.314374";Stone Head;Umeå
035;"63.811612;20.316297";Romerska Pelaren;Umeå
036;"63.811662;20.346587";Tomtebo Badet;Umeå
037;"63.812362;20.304245";Ålidhemskyrkan;Umeå
038;"63.812439;20.258935";Skepp Ohoj Lekplats;Umeå
039;"63.813212;20.370184";Ungskogsröjning;Umeå
040;"63.81398;20.254778";SpiderPlay;Umeå
041;"63.814698;20.320898";Skrotdraken;Umeå
042;"63.815431;20.298628";Arrow Sculpture;Umeå
043;"63.815583;20.243021";T3 Center;Umeå
044;"63.816127;20.24256";Tegs IP Konstgräsplan;Umeå
045;"63.81623;20.319919";Kuratorvägens Lekplats;Umeå
046;"63.817176;20.231415";1/4;Umeå
047;"63.817418;20.263818";Fågelstigens Lekplats;Umeå
048;"63.817497;20.293193";Umeå Östra Station;Umeå
049;"63.817502;20.298106";Norrlands Universitetssjukhus;Umeå
050;"63.817648;20.361347";Flygfä;Umeå
051;"63.81766;20.31878";Gate to the Future;Umeå
052;"63.817868;20.355198";Waterhouse by Nydala;Umeå
053;"63.818143;20.212593";Böleängs Klocktorn;Umeå
054;"63.818627;20.201992";Bigarråbackens Lekplats;Umeå
055;"63.818737;20.306318";Forskaren;Umeå
056;"63.819186;20.31608";Runsten;Umeå
057;"63.819339;20.358625";Sjökanten;Umeå
058;"63.819644;20.279101";SKIN 4 av Mehmet Ali Uysal;Umeå
059;"63.820264;20.302995";Eoner;Umeå
060;"63.820549;20.30585";Vågspel;Umeå
061;"63.82056;20.213282";Päronvägens Lekplats;Umeå
062;"63.82084;20.281491";Kakeltornen;Umeå
063;"63.821069;20.285771";Snabelkanan;Umeå
064;"63.821132;20.274656";Heart of Creativity;Umeå
065;"63.822886;20.225575";Blockparken;Umeå
066;"63.822886;20.236086";Anker In Garden;Umeå
067;"63.822934;20.296393";Rost 2;Umeå
068;"63.822996;20.252671";Ankaret;Umeå
069;"63.823055;20.268497";Anders Bäckström;Umeå
070;"63.823184;20.265083";Pink World;Umeå
071;"63.823201;20.308329";Measurement of Time;Umeå
072;"63.82337;20.310404";Campus Arena;Umeå
073;"63.82362;20.267859";Umeå Stadskyrka;Umeå
074;"63.823634;20.296854";Rost;Umeå
075;"63.823655;20.244577";Körsbärsdalen Skatepark;Umeå
076;"63.823735;20.24829";Gamla bron;Umeå
077;"63.824028;20.326366";Badger;Umeå
078;"63.824779;20.268155";Tellus;Umeå
079;"63.825166;20.26271";Umeå Town Hall;Umeå
080;"63.825288;20.30224";Caged Dinosaur;Umeå
081;"63.825992;20.252244";Round And Round;Umeå
082;"63.826179;20.263481";Umeå 2014;Umeå
083;"63.82621;20.259925";Umeå Renmarkstorget;Umeå
084;"63.826529;20.296315";Stora Lekplatsen;Umeå
085;"63.827887;20.332335";Kinabron;Umeå
086;"63.828004;20.326856";Lekplats I Färg;Umeå
087;"63.828531;20.28728";Stadsliden Umeå;Umeå
088;"63.828621;20.185233";Fågeltornet vid Gran;Umeå
089;"63.829005;20.244708";Döbelns Plan;Umeå
090;"63.829025;20.292364";Dansbana;Umeå
091;"63.829253;20.289762";Västerbottens Museum;Umeå
092;"63.829337;20.254135";Umeå Stadshus;Umeå
093;"63.829385;20.327124";Skarvstens Lekplats;Umeå
094;"63.829482;20.178886";Hamnen vid Backens Kyrka;Umeå
095;"63.829501;20.266472";Grön Eld;Umeå
096;"63.829556;20.180623";Cammererarens Gångstig;Umeå
097;"63.829624;20.139689";Baggböleörens Grillplats;Umeå
098;"63.830202;20.266082";Lev!;Umeå
099;"63.830417;20.167826";Backenkyrkans Kapell;Umeå
100;"63.83075;20.116663";Klabböle Missionshus;Umeå
101;"63.830965;20.318365";Mariehemsbron;Umeå
102;"63.83143;20.278828";Najad;Umeå
103;"63.831548;20.279833";Östra Hagaparken Playground;Umeå
104;"63.831632;20.235488";Hedlundakyrkan;Umeå
105;"63.831638;20.239699";Orange Blobbs;Umeå
106;"63.832242;20.154294";EFS gården;Umeå
107;"63.832366;20.305211";Lummerstigens Lekplats;Umeå
108;"63.832891;20.242994";NOLIA;Umeå
109;"63.833079;20.217595";Hartan Ungdomsgård;Umeå
110;"63.833244;20.187383";Kossorna;Umeå
111;"63.833752;20.245199";Posten Signalvägen;Umeå
112;"63.833916;20.23112";Tväråns Utomhusgym;Umeå
113;"63.834213;20.327616";Ungdom;Umeå
114;"63.834332;20.25957";Gamla Officers Massen;Umeå
115;"63.834515;20.118736";UmeLeden Klabböle;Umeå
116;"63.835122;20.127039";Notvarpsstugan;Umeå
117;"63.835365;20.331464";Trandansen 2;Umeå
118;"63.835367;20.327769";Mariehemslekparken;Umeå
119;"63.835401;20.116764";Kraftverksmuseet - Umeå Energicentrum;Umeå
120;"63.835733;20.165526";Umeå Prototype;Umeå
121;"63.835779;20.151249";Lekplatsen vid Granhäcken;Umeå
122;"63.835813;20.164614";Traffic Lights (In Umedalen Sculpture Park);Umeå
123;"63.835895;20.204357";Klätter Och Kläng Playground;Umeå
124;"63.836285;20.264801";Vildmannavallen;Umeå
125;"63.836545;20.339719";Nydala badet;Umeå
126;"63.836629;20.226478";UFO;Umeå
127;"63.836649;20.262393";Umevatoriet;Umeå
128;"63.836677;20.232972";St:Staffan Västerslätt;Umeå
129;"63.836941;20.253033";Draken;Umeå
130;"63.837357;20.296936";Utegymmet I Skogen;Umeå
131;"63.837415;20.156042";Shoes;Umeå
132;"63.837525;20.161211";Ensamt Barn;Umeå
133;"63.837576;20.323356";Duvslagsparken;Umeå
134;"63.837902;20.340314";Beachfotbollsplanen;Umeå
135;"63.837925;20.18055";Mister Mailbox;Umeå
136;"63.83799;20.122961";Arboretum Norr;Umeå
137;"63.838457;20.168453";Löftets Lekplats;Umeå
138;"63.838824;20.342517";Konstsnöspåret;Umeå
139;"63.838864;20.320725";Morkullevägens Lekplats;Umeå
140;"63.839163;20.158495";A New Perspective;Umeå
141;"63.839497;20.159378";Kastenhaus 1166;Umeå
142;"63.839569;20.115036";Buddha;Umeå
143;"63.839766;20.315051";Umeå Softballplan;Umeå
144;"63.839811;20.242673";Monument of Letters;Umeå
145;"63.84;20.282263";Adventkyrkan;Umeå
146;"63.840371;20.319517";Mariehemsbiblioteket;Umeå
147;"63.840583;20.311412";Bräntberget Outdoor Gym;Umeå
148;"63.840765;20.326436";Water Tower;Umeå
149;"63.840916;20.314329";MSK Arena;Umeå
