ID,LOCATION,NAME,IMAGE
18204316,"64.75188,20.912582999999998",Skellefteå Church,blah_not_used_yet
18204399,"64.759785,20.968189",Folkets Park,blah_not_used_yet
18204395,"64.744636,20.948757",Sörböle torg,blah_not_used_yet
18204371,"64.751133,20.962515",Metal Fountain,blah_not_used_yet
18204379,"64.751062,20.939411999999997",Kronan På Verket,blah_not_used_yet
18204389,"64.749573,20.965633999999998",Seals and Waves,blah_not_used_yet
18204337,"64.762147,20.919387",Sjungande Dalen Kyrkan ,blah_not_used_yet
18204349,"64.751812,20.922316000000002",Församlingsgården,blah_not_used_yet
18204362,"64.748892,20.951942",Thinking kid,blah_not_used_yet
18204378,"64.750185,20.942332",Frimurar Orden ,blah_not_used_yet
1109789,"64.755493,20.982232",Hypercube,blah_not_used_yet
18204301,"64.752296,20.953958",Time Man,blah_not_used_yet
18204413,"64.756619,20.967301",Lady in the Park,blah_not_used_yet
18204364,"64.749489,20.951446999999998",City Park Fountain ,blah_not_used_yet
18204289,"64.742326,20.937438",Växtkraft ,blah_not_used_yet
18204351,"64.752315,20.994043",Moröns Bönhus,blah_not_used_yet
18204406,"64.75279,20.973766",Myran,blah_not_used_yet
18204381,"64.750406,20.939532",Svandammen,blah_not_used_yet
18204426,"64.752467,21.029629999999997",Moröbacke Kyrka,blah_not_used_yet
18204302,"64.751158,20.953621000000002",Möjligheternas Torg,blah_not_used_yet
18204345,"64.751846,20.91864",Landskyrkan ,blah_not_used_yet
18204420,"64.749579,20.905003",Minneslund,blah_not_used_yet
